province,restaurant_count,state_name,population,restaurants_per_100k
SD,105,South Dakota,886667,11.842100811240297
KY,332,Kentucky,4505836,7.368222012518875
WY,41,Wyoming,576851,7.107554637159336
NM,149,New Mexico,2117522,7.036526657102028
VT,43,Vermont,643077,6.686602070980614
ND,50,North Dakota,779094,6.417710828218418
IN,379,Indiana,6785528,5.585416492275915
MO,334,Missouri,6154913,5.426559238124081
ID,99,Idaho,1839106,5.383050242889752
OK,208,Oklahoma,3959353,5.253383570497503
IA,166,Iowa,3190369,5.2031598852671905
WV,93,West Virginia,1793716,5.184767265274993
LA,237,Louisiana,4657757,5.088286057001256
AR,151,Arkansas,3011524,5.014072609084304
UT,159,Utah,3271616,4.859983567753672
AL,236,Alabama,5024279,4.697191378106192
NE,92,Nebraska,1961504,4.690278480186632
SC,238,South Carolina,5118425,4.64986787927927
OH,543,Ohio,11799448,4.601910191053005
NV,135,Nevada,3104614,4.348366656853315
VA,327,Virginia,8631393,3.788496248519793
TN,245,Tennessee,6910840,3.5451551475652745
KS,103,Kansas,2937880,3.5059294457227663
NC,358,North Carolina,10439388,3.4293198030382626
GA,347,Georgia,10711908,3.239385551108169
DE,32,Delaware,989948,3.232493019835385
ME,44,Maine,1362359,3.2296920268446128
WI,186,Wisconsin,5893718,3.1559026068094873
DC,21,District of Columbia,689545,3.0454865164710063
AZ,208,Arizona,7151502,2.908479924916472
IL,363,Illinois,12812508,2.8331689627042573
MS,82,Mississippi,2961279,2.7690737684628837
HI,40,Hawaii,1455271,2.7486289495221166
CO,158,Colorado,5773714,2.7365401195833394
WA,209,Washington,7705281,2.7124254131679297
OR,114,Oregon,4237256,2.690420404148345
CT,96,Connecticut,3605944,2.6622709615013433
NH,36,New Hampshire,1377529,2.613375108618403
MN,148,Minnesota,5706494,2.593536416580829
MD,159,Maryland,6177224,2.5739717387616183
MI,251,Michigan,10077331,2.490738867265549
MT,25,Montana,1084225,2.305794461481703
RI,24,Rhode Island,1097379,2.1870292761206476
FL,471,Florida,21538187,2.186813588348917
PA,283,Pennsylvania,13002700,2.176471040630023
TX,634,Texas,29145505,2.175292553688811
AK,14,Alaska,733391,1.9089407969282417
MA,131,Massachusetts,7029917,1.8634643908313568
CA,676,California,39538223,1.7097379414345455
NJ,151,New Jersey,9288994,1.6255796914068412
NY,269,New York,20201249,1.3316008331960068
