city,state_name,restaurant_count,population,restaurants_per_100k
Cincinnati,Ohio,119,1726642,6.891990348896877
Albuquerque,New Mexico,35,765360,4.573011393331242
Ogden,Utah,26,630643,4.1227762775453
Oklahoma City,Oklahoma,41,1017828,4.028185508750005
Columbia,South Carolina,22,610536,3.603391118623636
Dayton,Ohio,23,672634,3.419393013139389
Knoxville,Tennessee,21,627090,3.3488016074247717
Mesa,Arizona,17,511764,3.3218436623130976
Louisville,Kentucky,30,988018,3.036381928264465
Tulsa,Oklahoma,22,747529,2.9430296349706833
