province,restaurant_count,state_name,population,restaurants_per_100k
MT,25,Montana,1084225,2.305794461481703
RI,24,Rhode Island,1097379,2.1870292761206476
FL,471,Florida,21538187,2.186813588348917
PA,283,Pennsylvania,13002700,2.176471040630023
TX,634,Texas,29145505,2.175292553688811
AK,14,Alaska,733391,1.9089407969282417
MA,131,Massachusetts,7029917,1.8634643908313568
CA,676,California,39538223,1.7097379414345455
NJ,151,New Jersey,9288994,1.6255796914068412
NY,269,New York,20201249,1.3316008331960068
