name,city,province,latitude,longitude,state_name,population
Wendy's,Washington Court House,OH,39.53255,-83.44526,Ohio,14439
Frisch's Big Boy,Maysville,KY,38.62736,-83.79141,Kentucky,8737
OMG! Rotisserie,Athens,OH,39.35155,-82.09728,Ohio,23396
Domino's Pizza,Hamilton,OH,39.4176,-84.47641,Ohio,63468
Domino's Pizza,Englewood,OH,39.86969,-84.29358,Ohio,13356
McDonald's,Saluda,SC,34.00598,-81.7704,South Carolina,3055
Pizza Hut,Paragould,AR,36.06107,-90.52325,Arkansas,30215
SONIC Drive In,Sheridan,AR,34.30687,-92.40784,Arkansas,5165
Domino's Pizza,Monticello,AR,33.61937,-91.80232,Arkansas,8257
McDonald's,Oklahoma City,OK,35.52234,-97.5382,Oklahoma,1017828
Domino's Pizza,Lexington,KY,38.06753,-84.53043,Kentucky,323725
Long John Silver's,Tell City,IN,37.941032,-86.762115,Indiana,7505
McDonald's,Louisville,KY,38.21999,-85.764824,Kentucky,988018
McDonald's,Oklahoma City,OK,35.54815,-97.61717,Oklahoma,1017828
Taco Bell,Leland,NC,34.23389,-77.99544,North Carolina,29607
McDonald's,Leland,NC,34.21188,-78.02454,North Carolina,29607
Qdoba Mexican Grill,Brentwood,TN,36.04222,-86.77995,Tennessee,45556
McDonald's,Leland,NC,34.234477,-78.000649,North Carolina,29607
McDonald's,Hardinsburg,KY,37.792641,-86.492762,Kentucky,2327
McDonald's,Wichita Falls,TX,33.85371,-98.50065,Texas,102581
McDonald's,South Padre Island,TX,26.09105,-97.1643,Texas,2891
McDonald's,Miami,OK,36.88826,-94.87766,Oklahoma,12926
Pizza Hut,Pineville,LA,31.3626,-92.41343,Louisiana,14160
Sonic Drive-In,Bastrop,LA,32.77992,-91.89477,Louisiana,9232
Domino's Pizza,Claremore,OK,36.31069,-95.61759,Oklahoma,20166
McDonald's,Minerva,OH,40.732,-81.09812,Ohio,3196
SONIC Drive In,Leavenworth,KS,39.28532,-94.90441,Kansas,37195
Taco Bell,Jamestown,ND,46.898997,-98.707788,North Dakota,15787
Domino's Pizza,Fargo,ND,46.85659,-96.79863,North Dakota,231541
Taco John's,Jamestown,ND,46.89896,-98.6984,North Dakota,15787
McDonald's,Minot,ND,48.20858,-101.3128,North Dakota,47791
Whataburger,Woodville,TX,30.76846,-94.41477,Texas,2755
Pizza Hut,Minot,ND,48.219459,-101.296022,North Dakota,47791
Domino's Pizza,Smithfield,UT,41.82069,-111.83318,Utah,14408
Hamburger King,Ada,OK,34.77482,-96.68126,Oklahoma,16575
SONIC Drive In,Broken Arrow,OK,36.01948,-95.79756,Oklahoma,118180
Domino's Pizza,Norman,OK,35.18173,-97.41709,Oklahoma,129672
Burger King,Warner Robins,GA,32.59495,-83.58338,Georgia,148466
Burger King,Albuquerque,NM,35.144456,-106.585927,New Mexico,765360
McDonalds,El Paso,TX,31.77465,-106.38071,Texas,866309
SONIC Drive In,Shawnee,OK,35.33252,-96.91222,Oklahoma,31671
Taco Time,Portland,OR,45.457027,-122.713696,Oregon,2115140
McDonald's,Ashland,KY,38.48554,-82.658096,Kentucky,21295
Burger King,Cleveland,OH,41.373042,-81.826072,Ohio,1695555
McDonald's,Evansville,IN,38.01322,-87.57549,Indiana,204607
Jimmy John's,Waxahachie,TX,32.41269,-96.84213,Texas,45347
Domino's Pizza,Oklahoma City,OK,35.32026,-97.50536,Oklahoma,1017828
Popeyes Louisiana Kitchen,Jeffersonville,IN,38.32967,-85.74938,Indiana,51043
Qdoba Mexican Grill,Louisville,KY,38.21234,-85.59548,Kentucky,988018
Domino's Pizza,Salem,OR,44.87205,-123.02243,Oregon,268719
Whataburger,San Antonio,TX,29.4033,-98.70619,Texas,2096390
Qdoba Mexican Grill,Louisville,KY,38.26897,-85.61074,Kentucky,988018
Whataburger,Austin,TX,30.22023,-97.83528,Texas,1940039
Whataburger,Austin,TX,30.16525,-97.78887,Texas,1940039
Hardee's,Iron Mountain,MI,45.825755,-88.063121,Michigan,7518
McDonald's,Hickory,NC,35.75332,-81.28572,North Carolina,213375
Quiznos,Mandeville,LA,30.41178,-90.04186,Louisiana,122591
Burger King,Auburn,NY,42.94987,-76.54722,New York,26285
Whataburger,Richmond,TX,29.55941,-95.76008,Texas,12582
Domino's Pizza,Green Bay,WI,44.51312,-87.96051,Wisconsin,222170
SONIC Drive In,Maumelle,AR,34.84808,-92.40624,Arkansas,19373
Taco Bell,Sullivan,MO,38.22303,-91.15696,Missouri,6310
Domino's Pizza,Memphis,TN,35.22655,-89.84786,Tennessee,1037125
Taco Bell,Yakima,WA,46.57144,-120.48825,Washington,136518
Jimmy John's,Branson,MO,36.65075,-93.22026,Missouri,12817
Taco Bell,Springdale,AR,36.182436,-94.138658,Arkansas,88160
Domino's Pizza,La Vergne,TN,36.02074,-86.5812,Tennessee,40243
