city,state_name,restaurant_count,population,restaurants_per_10000
Mount Airy,North Carolina,12,10633,11.285620238878963
Newport,Kentucky,15,13967,10.739600486861889
Covington,Louisiana,9,11658,7.7200205867215645
Cleveland,Mississippi,8,10623,7.530829332580251
Glasgow,Kentucky,11,15197,7.238270711324604
Carroll,Iowa,7,10208,6.8573667711598745
Placerville,California,7,10762,6.504367217989222
Traverse City,Michigan,10,15593,6.413134098634003
Meadville,Pennsylvania,8,12577,6.360817365031406
Bloomsburg,Pennsylvania,8,13024,6.142506142506142
